issueId,result
282130338,
263231250,+
218093460,+
214932950,+
193199887,+
185007124,Conflict
177500388,+
143562478,
118516157,
116784293,+
348504686,+
337322851,Conflict
336676164,
333503435,
325055952,+
308123249,
301609142,Conflict
300109510,Conflict
299997055,
295978234,
295647103,Conflict
294266148,+
289609142,
285251828,+
283850761,
280017638,+
273102313,Conflict
272359992,+
268725296,
268156588,+
265143375,Conflict
263278583,+
263193934,
262274417,Conflict
261916154,
260035057,Conflict
258193442,+
253186275,+
252105122,Conflict
251679769,+
250164104,+
249125216,
248273591,+
247856867,+
247775319,+
246749516,
244869091,
242095119,
240240264,Conflict
240013606,Conflict
238009458,
237362240,
232790084,+
231434838,Conflict
231244905,Conflict
229133158,+
228900963,
228750833,
228365329,Conflict
226851695,Conflict
224144933,+
221253389,
220670310,
219966835,+
218014050,
217698118,
216998643,Conflict
214247347,+
213540851,
206623432,Conflict
206307596,Conflict
203008114,
202896611,Conflict
200489771,
199708826,+
198983558,
198021032,
197745608,
195678863,Conflict
194489620,
193917842,
193779675,
193444879,+
192616175,Conflict
189926441,+
189265256,
188995654,
188341116,Conflict
185380212,+
183145572,+
181508226,Conflict
181500394,+
180085476,
179048568,+
179010282,+
178015134,Conflict
177819974,Conflict
176108956,
173802177,Conflict
173740437,Conflict
172281261,+
170996032,Conflict
168926668,Conflict
168551155,+
168391324,Conflict
165886481,+
163809971,+
162257674,
161758557,
160907852,+
158546927,
157285431,
156570804,
156460591,
156017537,+
155495195,+
153642738,+
150712672,
148945737,
142566824,
141897967,+
141040979,+
135543997,
134600238,+
129650821,Conflict
119463516,+
116708679,+
114459215,
111788060,+
106045409,
102805977,+
102540786,
98305998,+
97530644,+
95537598,+
94174098,+
92222851,
89160582,Conflict
86599407,+
85577695,
70825767,+
67554703,+
58702203,
58504279,
56740566,Conflict
56088839,
55367942,
324403942,+
306216625,+
298978549,+
296338036,+
272034397,
270571251,+
233681321,+
180419826,
172799139,
160110302,+
345562783,
324726210,+
320529676,
318054408,
316531081,+
307409050,
304493955,
303755774,+
300720522,+
300153426,Conflict
298805135,Conflict
296889732,+
293164909,+
292549809,+
290993386,+
290821502,
290293666,Conflict
290213666,+
288975124,+
288386529,
288361099,
287637053,+
287071466,
286925890,Conflict
286512442,+
285555542,+
285504155,
285147334,Conflict
278993779,Conflict
277616195,Conflict
271305500,
271270566,+
261154825,
261039842,
260817198,Conflict
260764110,
257616752,
254079539,
252855790,+
250649765,Conflict
248151122,
243900266,+
242791051,
242565644,+
241719708,
241589687,
240893177,
240878382,
240134266,
238792117,
237073412,Conflict
236704326,Conflict
236662957,
236032076,
234406051,+
234254563,Conflict
233433293,
232818481,
231876449,
231117879,+
230928408,+
230876873,
230697288,+
230496376,+
230267282,
230189639,
230144978,
230126676,
229551563,+
228965079,Conflict
228679952,
227519687,Conflict
226669246,Conflict
222994329,+
220077670,
218291435,
216445414,Conflict
215280975,+
213526990,+
213502101,+
213076258,
212958637,
212605128,+
211988184,+
211975188,Conflict
211936273,
210237174,+
208629549,
207974456,Conflict
207678957,
205738023,+
203457212,Conflict
201564253,
200474959,+
199235811,
199144659,+
198453988,Conflict
198280702,
198034785,
196366212,
196298133,Conflict
196297011,
196128063,+
195725422,Conflict
194873538,
194658707,+
194648750,+
194062133,+
193904887,
193366252,+
193165268,
192802875,Conflict
191789320,
191749975,+
191217489,+
190886549,
190589610,Conflict
190589164,
190572513,+
187310486,Conflict
187290407,Conflict
185375859,Conflict
184265273,Conflict
183633894,+
183217218,+
182634873,+
182317324,
182265932,
181779858,
181708499,
181468513,+
180460861,
180405660,
180054980,+
179798389,Conflict
179496977,+
179059843,
179050489,+
179031078,
178696156,
177762206,Conflict
177609282,+
177602289,
177538275,+
177469424,+
176851799,Conflict
176739576,
176726903,+
176507693,Conflict
175273992,+
174968572,+
173648217,
171946445,Conflict
171028169,+
170744746,Conflict
169454442,+
169273404,+
168753067,
168487319,+
168306013,+
168193165,
168056318,+
167682273,+
167602431,
167592547,+
167577118,+
167433480,
167280008,
167195324,
167130904,+
167112567,
167091199,+
167087382,+
166457020,
342915204,+
312386679,+
305419028,Conflict
304758162,+
302163106,
301063579,+
294151036,+
293322887,+
284899199,+
284089065,
282294120,+
281620682,+
280754801,+
279830500,+
262822072,+
240662242,
239731876,
237664677,
236643127,+
224579532,+
219605021,
217585884,Conflict
215379974,+
215376161,+
210241370,Conflict
197467224,+
195853517,
195501892,Conflict
192788785,+
190614523,+
189282142,+
185644763,+
185232936,
183281445,+
179272307,+
176530402,
176026104,+
173913814,+
172623440,Conflict
170181309,
167944204,+
166117832,+
166081296,+
164086847,+
162943380,+
161357225,+
158756640,
156847964,
155053463,+
154264254,+
154106862,+
152051377,
151845159,+
150718298,
140863514,+
140214381,Conflict
139681437,
136668726,+
135653020,+
135291807,+
131934513,+
127296453,+
124563021,+
122731260,Conflict
121097243,+
120887909,+
117469848,+
115781413,+
112427078,
110701682,
110246641,+
109948969,
109033154,+
108486376,
104563369,
99844046,+
98369990,+
98361470,+
94494652,+
94102617,+
93301756,
93286084,
93106643,+
89968459,
87083331,+
85504887,
82396667,+
79410692,
79387724,+
75951419,+
74969051,+
74598984,+
74459695,+
68045903,+
64503961,
63251635,+
60909637,+
60442762,+
59491037,+
59047890,+
57976746,+
57925236,
57532268,+
57465950,
56566402,+
56175071,
55816432,+
55185285,+
54689209,
54139840,+
53708901,+
53316785,+
53188555,Conflict
53079904,
52422084,
51971034,
51889133,
51263485,Conflict
51058611,+
50521692,+
50508200,
50453502,+
50158987,+
49689144,+
49187784,+
46729391,+
46563418,
44893942,
44881052,
44876154,
44657350,+
44546740,+
44241726,+
44004110,+
43631195,+
43225875,
43118138,+
42744101,+
42725334,+
42482209,+
42193516,+
42156945,+
42065686,+
42057141,+
41945366,
41391912,+
40979347,+
40689795,+
39953462,+
39804304,
39742378,Conflict
39653529,
39276288,+
38558355,
38519327,+
37852753,
37578045,+
37568194,+
37218965,+
37181319,+
37150242,
36822428,+
36597028,+
36289924,+
35653117,+
35561209,+
35469520,+
35340612,+
35097451,+
35073588,+
34785465,+
34620442,
34558640,Conflict
34543528,
34392462,+
34212322,+
33912552,+
33757635,+
33340763,+
33320103,+
32285790,Conflict
32272736,+
31869699,
31859763,+
31775257,
31623489,+
31145650,+
30358690,
30046027,+
28947946,+
28668885,
28085262,+
27939731,
27754682,+
27466421,+
27466135,+
27444645,+
27439050,+
27019737,+
26792806,+
26544771,+
26325624,
26139669,+
25883889,+
25882017,+
25805519,+
25486437,+
25392625,+
25370112,+
25253746,+
25046971,+
24919357,+
24897586,
24855030,
24795260,+
24698360,+
24674817,
24591910,+
24407852,
24366882,+
24301920,+
24299295,+
24155046,
23937675,+
23713414,+
23701329,+
23499657,+
23327559,+
23058877,
22986946,
22726581,+
22558226,+
22527965,+
22501059,
22385288,+
22332252,+
22051542,+
21956964,
21744809,
21713642,+
21353624,Conflict
21197807,+
21090924,+
20999905,+
20587616,+
20469066,
20414538,+
20354563,
20283661,+
20210896,+
20115823,
20076767,+
19746563,+
19709719,+
19562806,
19510239,+
19510153,
19304058,+
19071447,+
19039149,
18844487,
18832287,+
18826138,+
18790886,+
18690810,
18459795,
18441718,
18374790,Conflict
18311976,+
18208985,+
18202364,+
18100797,
18098616,
18098547,
18093923,
18058101,+
17998554,
17930399,Conflict
17866872,+
17811270,+
17683863,
17613996,+
17611237,+
17602232,+
17583151,+
17472936,+
17442990,+
17440669,+
17391005,+
17315632,+
17257436,
17211245,+
16988014,+
16970493,+
16836951,+
16805266,+
16790708,+
16674301,+
16670100,+
16573584,
16544895,
16544786,
16238817,+
16211674,+
16163195,+
16152041,+
16151054,+
16137997,
16051498,
16021578,
16004148,+
16004048,+
15926945,
15897633,
15874647,
15858327,+
15735243,+
15689488,+
15681980,+
15649794,
15594088,+
15593312,
15555178,+
15551750,+
15536115,
15530322,+
15510185,
15490314,+
15486238,
15479819,+
15467498,+
15081101,+
14901550,Conflict
14771895,+
14763934,+
14751777,+
14664706,
14608799,+
14548566,+
14512906,+
14412118,+
14400253,+
14364679,+
14215663,+
14187861,+
14019646,+
13535875,+
12765460,+
12741324,Conflict
12638150,
12589185,
12370724,
12023128,+
11916487,
11632605,
11555827,+
11019495,
10732200,Conflict
10591888,+
10539547,+
10501054,+
10460096,
10460030,+
10440405,+
10358657,+
10256660,+
10081485,+
10069712,+
9920773,+
9872476,+
9769699,+
9766969,
9749656,+
8945754,+
8444949,+
8314028,
7767296,
7677823,
7580400,Conflict
7365749,+
7154409,Conflict
7106681,
6791356,+
6697357,
6370779,
6098616,+
5126172,
5093164,+
4936721,+
4916756,+
4909897,+
4311476,+
4124164,+
321725258,Conflict
315664195,+
313671226,
312146778,+
309406293,
303932442,Conflict
303596069,
303505229,Conflict
299534507,
292867350,
290720740,Conflict
290412583,Conflict
290108432,+
289823723,
289437175,
289240651,Conflict
287842999,Conflict
285165099,Conflict
276223882,+
274167754,Conflict
273626789,
272388071,
270887248,
270736774,
270053554,+
269673629,+
269183034,
269029699,
268388673,
267589912,Conflict
266916675,Conflict
266402561,
266156611,+
263323515,
263118379,
262948880,
260498349,+
260245812,
259968973,+
259467813,Conflict
256413352,
255039482,+
254831767,
254603973,+
254136242,Conflict
253061096,
253026115,
252829365,+
252505354,+
252072596,+
251976103,Conflict
251703657,+
251521233,Conflict
251395719,+
251381418,+
251299888,Conflict
251220418,
251218147,+
250829149,+
250792946,
250748045,
250720341,+
250689745,Conflict
250221390,
243330345,
241113578,
237368330,Conflict
329202486,
307901355,
295610992,
286031141,
285177570,
273928503,
270511547,+
263771608,
261888863,
258487844,Conflict
258285069,+
246333423,
246001216,
241831089,
241558993,
239882438,
239194617,
238770847,+
235721771,Conflict
234910589,
233373007,
231945638,
231428333,
231137354,+
226112171,
225436125,
225258074,+
225146773,
224788051,
224523501,
224270942,
220186363,Conflict
219831042,
219806059,-
218223323,Conflict
212902625,
211880369,Conflict
211486073,
211087920,
210474669,+
209711695,
207831514,
207291616,
205511575,+
203308361,
198382091,
197477579,Conflict
196548002,
195997192,
195888107,
191459502,
189683103,+
185481898,Conflict
183304541,+
183262840,Conflict
182976263,
181838588,
181659914,
181063010,+
180940843,+
180600999,+
180209153,Conflict
180158151,
180030607,Conflict
179882940,
179292714,
178835181,
178794607,+
177814153,
177486582,Conflict
177408329,+
177100199,
173594632,+
170010773,
167717821,
163810847,
163649000,+
163575823,+
163272522,
162230213,
161321900,
160421570,Conflict
159684216,
159259643,+
158949371,Conflict
158742202,
157679905,+
157467123,
156477211,
156297564,
156244549,+
155516260,
154859415,
154589758,
154467204,Conflict
153928174,
153470790,Conflict
152973467,+
152814773,
149403292,+
148914129,
147972895,+
144933886,Conflict
143408676,
141956964,+
140773145,Conflict
138576357,
135143893,Conflict
133177706,+
133131626,
133034688,
133028971,
133025736,
127670719,+
127315921,+
34699403,+
342139923,Conflict
340203045,
336552550,
333689159,
325889581,Conflict
323892489,
316927434,
314393574,
313269685,Conflict
312887074,
311470925,
304085891,Conflict
303911453,
302458351,Conflict
298766557,
297085184,
292084257,
290630201,Conflict
288173884,
286293887,+
283138924,
282869012,Conflict
282741848,Conflict
281112616,Conflict
279926443,Conflict
270877357,+
268081708,Conflict
263475425,Conflict
261916032,Conflict
261426202,
259137095,
259010628,
258857064,
256863792,Conflict
256391882,Conflict
256319608,Conflict
256275987,+
254767745,
248879582,
247794821,Conflict
246103764,
244862246,
244695261,+
242624808,
241562263,
241380361,Conflict
239925763,
239085454,
238589775,Conflict
237629147,+
237156126,
235977274,Conflict
234918289,
234677562,
234323169,+
231672984,+
231157705,
229432719,Conflict
228410049,
228277962,Conflict
227842064,Conflict
227816000,Conflict
226598989,+
226499417,Conflict
222820416,
222695266,
220815920,+
219657630,
219624325,Conflict
219417207,
218773453,+
218553580,
218334482,+
217865047,Conflict
217737938,Conflict
217512804,
216988596,Conflict
216936821,
216908117,+
216884434,
216502517,+
213261910,
212561085,
212476364,
212251821,
211954577,
211529899,Conflict
210969003,Conflict
210509459,Conflict
209432261,
208707572,Conflict
207662188,
205379141,
203828102,
203676453,Conflict
203064999,
202812972,
202252547,
202182550,Conflict
201997260,
201236122,
201093179,Conflict
200310072,
199967985,+
199235047,
197297742,
197279166,Conflict
195678076,
195619651,
193777451,+
193531536,
193134811,
192648932,+
190726064,Conflict
188601125,Conflict
188258676,
187544004,
187303495,
187040895,
186439956,
184547993,
184185549,+
183757068,
183301193,+
181800154,
181739121,
181448365,
181244248,+
181165800,
179968541,
179839447,
179819759,Conflict
179221868,+
177674886,Conflict
177633866,+
177058169,
176522543,Conflict
175891912,+
173818363,
172194515,
172045539,
171714400,
171638393,Conflict
171535837,
171285006,
171154072,Conflict
170980810,+
170928094,+
170571928,+
170316157,Conflict
170021320,
169523951,Conflict
169057297,
168580336,
168388172,Conflict
167336235,
165716862,
165594681,Conflict
165085305,Conflict
164577402,Conflict
164347685,
163098359,
162963516,Conflict
162730896,
161962706,+
160405221,Conflict
160059218,+
159328560,Conflict
159265587,
158773863,Conflict
158140277,Conflict
158034316,
157394277,Conflict
156842999,+
156592621,Conflict
156338624,+
155832874,Conflict
154284964,
153511068,
152973810,
151876428,
151777021,
151086396,
150954523,
150952640,
150641857,Conflict
150424721,+
150415574,Conflict
149486727,
148220193,Conflict
146354112,
146150392,+
146081676,
145948766,Conflict
145162975,Conflict
144368681,Conflict
144300066,+
144299362,
144114123,
143999909,Conflict
143494351,
143491973,
143092761,+
142439246,
141445596,-
140423920,
140222110,
139778907,
138631210,
138558966,Conflict
137938290,Conflict
135049089,
134973257,+
134670771,
134336468,
130545938,
127823642,
123756269,+
123344471,+
120284625,+
119650314,
119579586,
117874608,Conflict
117720497,Conflict
117695091,+
116458099,+
116263695,+
114964284,
111005205,+
109917861,+
108697483,
108190643,
105707908,+
104846604,+
104387588,Conflict
104046753,Conflict
100286472,Conflict
98692811,Conflict
97762632,
95767910,+
95764950,
93182017,
91390161,
82959398,Conflict
81576637,Conflict
73920994,+
72195893,Conflict
71598641,Conflict
68696861,+
65653665,+
62792277,+
55846843,+
54686145,
51651113,+
47752827,+
46479927,
46286820,
45874490,
43849821,+
39792920,+
37950302,+
